DAYS_LAST_INFO_CHANGE,count
0.0,19948
1.0,1484
2.0,1253
3.0,933
4.0,691
5.0,437
6.0,284
7.0,243
8.0,156
329.0,126
476.0,124
499.0,115
351.0,114
399.0,114
293.0,113
404.0,112
352.0,109
361.0,108
392.0,108
574.0,108
370.0,108
330.0,108
334.0,108
301.0,107
479.0,107
463.0,107
360.0,106
421.0,106
706.0,106
531.0,105
452.0,105
427.0,105
319.0,105
500.0,104
378.0,104
11.0,104
488.0,104
308.0,103
546.0,103
460.0,103
432.0,103
469.0,103
13.0,103
350.0,102
492.0,102
509.0,102
522.0,102
355.0,102
447.0,102
304.0,102
483.0,101
588.0,101
335.0,101
455.0,101
315.0,101
518.0,100
396.0,100
316.0,100
420.0,100
448.0,99
385.0,99
415.0,99
347.0,99
341.0,99
260.0,99
484.0,99
291.0,99
290.0,99
338.0,99
672.0,99
364.0,98
9.0,98
487.0,98
285.0,98
609.0,98
413.0,98
363.0,98
372.0,98
358.0,98
512.0,98
441.0,97
536.0,97
632.0,97
417.0,97
435.0,97
359.0,97
262.0,97
340.0,97
259.0,97
461.0,97
473.0,97
443.0,97
252.0,97
362.0,96
576.0,96
428.0,96
343.0,96
566.0,96
506.0,96
707.0,96
279.0,96
540.0,95
273.0,95
405.0,95
320.0,95
424.0,95
494.0,95
278.0,95
480.0,95
466.0,95
630.0,95
564.0,95
365.0,95
306.0,95
300.0,95
541.0,95
354.0,94
529.0,94
549.0,94
294.0,94
299.0,94
271.0,94
493.0,94
391.0,94
376.0,94
700.0,94
544.0,94
276.0,94
538.0,94
556.0,94
402.0,94
280.0,94
445.0,93
423.0,93
394.0,93
349.0,93
313.0,93
503.0,93
416.0,93
470.0,93
464.0,93
321.0,93
444.0,93
454.0,93
353.0,92
371.0,92
501.0,92
263.0,92
266.0,92
596.0,92
12.0,92
597.0,92
560.0,92
496.0,92
561.0,92
367.0,92
567.0,92
478.0,92
534.0,92
339.0,92
245.0,92
587.0,92
731.0,91
288.0,91
628.0,91
578.0,91
686.0,91
462.0,91
366.0,91
264.0,91
497.0,91
434.0,91
450.0,91
16.0,91
438.0,91
511.0,91
297.0,91
373.0,91
457.0,90
356.0,90
380.0,90
505.0,90
406.0,90
446.0,90
599.0,90
210.0,90
458.0,90
475.0,90
625.0,90
481.0,90
261.0,89
211.0,89
258.0,89
302.0,89
451.0,89
246.0,89
539.0,89
729.0,88
504.0,88
419.0,88
468.0,88
589.0,88
573.0,88
310.0,88
604.0,88
551.0,88
333.0,88
521.0,88
257.0,88
303.0,88
309.0,88
638.0,88
530.0,87
440.0,87
408.0,87
726.0,87
312.0,87
10.0,87
649.0,87
465.0,87
653.0,87
545.0,87
265.0,87
253.0,87
1474.0,87
550.0,86
1735.0,86
332.0,86
324.0,86
542.0,86
