CLIENT_ID,NON_COMPLIANT_CONTRACT,NAME_PRODUCT_TYPE,GENDER,TOTAL_INCOME,AMOUNT_PRODUCT,INSTALLMENT,EDUCATION,MARITAL_STATUS,HOME_SITUATION,REGION_SCORE,AGE_IN_YEARS,JOB_SENIORITY,HOME_SENIORITY,LAST_UPDATE,OWN_INSURANCE_CAR,CAR_AGE,FAMILY_SIZE,REACTIVE_SCORING,PROACTIVE_SCORING,BEHAVIORAL_SCORING,DAYS_LAST_INFO_CHANGE,NUMBER_OF_PRODUCTS,OCCUPATION,DIGITAL_CLIENT,HOME_OWNER,EMPLOYER_ORGANIZATION_TYPE,CURRENCY,NUM_PREVIOUS_LOAN_APP,LOAN_ANNUITY_PAYMENT_MAX,LOAN_ANNUITY_PAYMENT_MIN,LOAN_ANNUITY_PAYMENT_SUM,LOAN_APPLICATION_AMOUNT_MAX,LOAN_APPLICATION_AMOUNT_MIN,LOAN_APPLICATION_AMOUNT_SUM,LOAN_CREDIT_GRANTED_MAX,LOAN_CREDIT_GRANTED_MIN,LOAN_CREDIT_GRANTED_SUM,LOAN_VARIABLE_RATE_MAX,LOAN_VARIABLE_RATE_MIN,NUM_STATUS_ANNULLED,NUM_STATUS_AUTHORIZED,NUM_STATUS_DENIED,NUM_STATUS_NOT_USED,NUM_FLAG_INSURED,CONTRACT_ID,DATE,CREDICT_CARD_BALANCE,CREDIT_CARD_LIMIT,CREDIT_CARD_DRAWINGS_ATM,CREDIT_CARD_DRAWINGS,CREDIT_CARD_DRAWINGS_POS,CREDIT_CARD_DRAWINGS_OTHER,CREDIT_CARD_PAYMENT,NUMBER_DRAWINGS_ATM,NUMBER_DRAWINGS,NUMBER_INSTALMENTS,B_CURRENCY
ES182100008D,0.0,PRODUCT 1,M,1188.0,5885.95,330.21,Secondary,Married,House,0.035792,46.4137,1588.0,4970.0,477.0,N,0.0,2.0,0.5025213,0.35422474,0.6212263,2536.0,1.0,Payroll,0.0,Y,3.0,euros,5.0,303.71,0.0,760.31,5400.0,0.0,9342.11,6023.7,0.0,9766.06,0.11024303,0.0,1.0,4.0,0.0,0.0,1.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100021X,0.0,PRODUCT 2,F,972.0,3240.0,162.0,Secondary,Married,House,0.010966,26.783562,191.0,4143.0,2427.0,N,0.0,3.0,0.5025213,0.68351334,0.5108011,2811.0,0.0,Payroll,0.0,Y,10.0,euros,6.0,405.0,32.51,769.4,1190.27,0.0,2949.21,8100.0,162.0,11060.33,0.4335386,0.0,0.0,6.0,0.0,0.0,0.0,ES1822594025e00XXX,2021-11-30,0.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100030R,0.0,PRODUCT 1,F,1080.0,2700.0,132.89,Secondary,Married,House,0.028663,52.969864,3494.0,2419.0,2893.0,N,0.0,2.0,0.5619484,0.65140563,0.4614824,0.0,0.0,Payroll,0.0,Y,1.0,euros,12.0,108.43,0.0,454.18,566.89,204.66,4823.61,596.81,184.19,4684.99,0.21091947,0.0,0.0,2.0,10.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100032D,0.0,PRODUCT 1,M,1350.0,3924.29,285.93,Secondary,Married,House,0.019101,43.69315,1234.0,5782.0,3153.0,N,0.0,3.0,0.5025213,0.5411237,0.6594055,2.0,0.0,Payroll,0.0,Y,25.0,euros,1.0,94.92,94.92,94.92,831.06,831.06,831.06,507.06,507.06,507.06,0.42459685,0.42459685,0.0,1.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100054X,0.0,PRODUCT 1,F,1188.0,3127.68,322.06,Secondary,Married,House,0.022625,55.126026,5332.0,9197.0,3283.0,N,0.0,2.0,0.5025213,0.089240655,0.7281413,1247.0,2.0,Payroll,0.0,Y,1.0,euros,5.0,124.2,63.61,476.63,1235.25,747.9,5159.97,1143.72,673.11,4868.75,0.1089329,0.0,0.0,4.0,1.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100059C,0.0,PRODUCT 1,M,6480.0,8100.0,415.15,Bachelor,Married,House,0.026392,51.046574,6977.0,3904.0,1937.0,Y,7.0,3.0,0.31150994,0.7133546,0.30927536,1285.0,3.0,Payroll,0.0,Y,37.0,euros,18.0,1749.54,0.0,4041.52,15660.0,0.0,40226.88,15660.0,0.0,48750.17,0.39988902,0.0,4.0,6.0,8.0,0.0,0.0,ES1821787234z00XXX,2021-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100099R,0.0,PRODUCT 1,F,4320.0,8799.79,492.91,Secondary,Single,House,0.009175,63.10137,0.0,9506.0,793.0,N,0.0,1.0,0.5025213,0.66057897,0.34252888,0.0,3.0,Pension,0.0,Y,,euros,12.0,802.72,34.85,4223.45,15066.0,354.2,94065.8,15066.0,354.19,99318.42,1.283573E-4,0.0,0.0,2.0,10.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100134Y,0.0,PRODUCT 2,F,2430.0,2160.0,108.0,Secondary,Married,House,0.018634,27.630136,465.0,9649.0,1666.0,N,0.0,2.0,0.32918578,0.7492408,0.69409263,0.0,0.0,Payroll,0.0,N,4.0,euros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100155W,0.0,PRODUCT 1,M,1890.0,8100.0,262.87,Secondary,Married,House,0.015221,32.72329,2899.0,5812.0,2722.0,N,0.0,2.0,0.5025213,0.28207836,0.56560796,524.0,0.0,Payroll,0.0,N,10.0,euros,1.0,116.59,116.59,116.59,1137.24,1137.24,1137.24,1137.24,1137.24,1137.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
ES182100158F,0.0,PRODUCT 1,M,2160.0,7084.04,329.83,Incomplete University,Married,House,0.0228,33.830135,1821.0,1909.0,4800.0,N,0.0,2.0,0.5025213,0.6837025,0.5108011,2041.0,1.0,Payroll,0.0,N,60.0,euros,3.0,112.27,0.0,190.94,1827.68,640.82,3299.56,2141.32,576.77,3549.15,0.17176735,0.0,0.0,2.0,0.0,1.0,0.0,NA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,euros
